Crop,Type,Pesticide_Name,Amount,Application_Stage,Target_Pest,Cost_Per_Hectare,Organic_Alternative,Safety_Level,Effectiveness,Application_Method
rice,Fungicide,Tricyclazole 75% WP,0.6 kg/hectare,Boot leaf stage,Blast disease,₹850,Neem Oil + Copper Sulfate,Medium,95%,Foliar spray
rice,Insecticide,Carbofuran 3% CG,33 kg/hectare,15 days after transplanting,Stem borer & Brown planthopper,₹1200,Azadirachtin 0.3%,High,90%,Soil application
rice,Herbicide,Pretilachlor 50% EC,1 liter/hectare,3-5 days after transplanting,Weeds,₹600,Manual weeding,Low,85%,Pre-emergence spray
wheat,Fungicide,Propiconazole 25% EC,500 ml/hectare,Tillering to boot stage,Rust & Powdery mildew,₹750,Sulfur 80% WP,Medium,92%,Foliar spray
wheat,Insecticide,Chlorpyrifos 20% EC,1.25 liters/hectare,Tillering stage,Aphids & Termites,₹650,Beauveria bassiana,Medium,88%,Soil drench + Foliar
wheat,Herbicide,2-4-D Amine Salt 58% SL,1.25 liters/hectare,25-30 days after sowing,Broadleaf weeds,₹400,Hand weeding,Low,90%,Post-emergence spray
maize,Insecticide,Chlorantraniliprole 18.5% SC,150 ml/hectare,Whorl stage,Fall armyworm & Stem borer,₹1100,Spinosad 45% SC,Low,94%,Foliar spray
maize,Fungicide,Carbendazim 50% WP,1 kg/hectare,Tasseling stage,Blight & Rust,₹500,Trichoderma viride,Low,87%,Foliar spray
maize,Herbicide,Atrazine 50% WP,2 kg/hectare,Pre-emergence,Grassy & broadleaf weeds,₹550,Mulching,Low,85%,Pre-emergence spray
cotton,Insecticide,Imidacloprid 17.8% SL,200 ml/hectare,Flower initiation,Bollworm & Aphids,₹800,Bacillus thuringiensis,Medium,90%,Foliar spray
cotton,Fungicide,Mancozeb 75% WP,2 kg/hectare,Boll formation,Bacterial blight,₹600,Copper oxychloride,Medium,85%,Foliar spray
cotton,Herbicide,Pendimethalin 30% EC,3.3 liters/hectare,Pre-emergence,Weeds,₹900,Mechanical weeding,Low,88%,Pre-emergence spray
tomato,Fungicide,Metalaxyl + Mancozeb 72% WP,2 kg/hectare,Flowering stage,Early & Late blight,₹950,Bordeaux mixture,Medium,93%,Foliar spray
tomato,Insecticide,Spinosad 45% SC,300 ml/hectare,Fruit development,Fruit borer & Leaf miner,₹1200,Bacillus thuringiensis,Low,92%,Foliar spray
tomato,Herbicide,Oxyfluorfen 23.5% EC,1 liter/hectare,Pre-planting,Weeds,₹700,Black plastic mulch,Low,90%,Pre-emergence spray
potato,Insecticide,Fipronil 5% SC,2 liters/hectare,60 days after planting,Tuber moth & Cutworm,₹1000,Metarhizium anisopliae,Medium,89%,Soil drench
potato,Fungicide,Metalaxyl 8% + Mancozeb 64% WP,2.5 kg/hectare,Tuber formation,Late blight,₹850,Copper sulfate,Medium,91%,Foliar spray
potato,Herbicide,Metribuzin 70% WP,350 gm/hectare,Pre-emergence,Weeds,₹800,Straw mulching,Medium,87%,Pre-emergence spray
sugarcane,Herbicide,Atrazine 50% WP,2 kg/hectare,35 days after planting,Weeds,₹600,Inter-cultivation,Low,85%,Post-emergence spray
sugarcane,Insecticide,Fipronil 0.3% GR,10 kg/hectare,Tillering stage,Termites & Root borer,₹1200,Beauveria bassiana,Medium,88%,Soil application
sugarcane,Fungicide,Propiconazole 25% EC,500 ml/hectare,Grand growth stage,Rust & Smut,₹750,Trichoderma harzianum,Medium,90%,Foliar spray
onion,Fungicide,Mancozeb 75% WP,2 kg/hectare,Bulb development,Purple blotch & Downy mildew,₹600,Neem oil + Garlic extract,Medium,88%,Foliar spray
onion,Insecticide,Dimethoate 30% EC,1.7 liters/hectare,Bulb formation,Thrips & Aphids,₹550,Yellow sticky traps,Medium,85%,Foliar spray
onion,Herbicide,Pendimethalin 30% EC,3.3 liters/hectare,25-30 days after sowing,Weeds,₹900,Hand weeding,Low,82%,Pre-emergence spray
chickpea,Insecticide,Quinalphos 25% EC,2 liters/hectare,Pod formation,Pod borer & Aphids,₹700,Chrysoperla carnea,Medium,87%,Foliar spray
chickpea,Fungicide,Carbendazim 50% WP,1 kg/hectare,Flowering stage,Wilt & Blight,₹500,Trichoderma viride,Low,89%,Seed treatment + Foliar
chickpea,Herbicide,Imazethapyr 10% SL,1 liter/hectare,15-20 days after sowing,Weeds,₹800,Manual weeding,Low,90%,Post-emergence spray
barley,Fungicide,Tebuconazole 25.9% EC,500 ml/hectare,Boot stage,Rust & Powdery mildew,₹800,Sulfur dust,Medium,91%,Foliar spray
barley,Insecticide,Chlorpyrifos 20% EC,2.5 liters/hectare,Tillering stage,Aphids,₹650,Ladybird beetles,Medium,85%,Foliar spray
barley,Herbicide,Fenoxaprop-p-ethyl 6.9% EC,750 ml/hectare,30-35 days after sowing,Grassy weeds,₹900,Mechanical weeding,Low,88%,Post-emergence spray
millet,Insecticide,Chlorpyrifos 20% EC,1.5 liters/hectare,45 days after sowing,Stem borer & Aphids,₹500,Neem seed kernel extract,Medium,80%,Foliar spray
millet,Fungicide,Propiconazole 25% EC,300 ml/hectare,Flowering stage,Downy mildew & Blast,₹600,Wood ash + Turmeric,Medium,82%,Foliar spray
millet,Herbicide,Atrazine 50% WP,1 kg/hectare,Pre-emergence,Weeds,₹400,Intercropping with legumes,Low,78%,Pre-emergence spray
banana,Insecticide,Chlorpyrifos 20% EC,2.5 ml/liter,Throughout season,Aphids & Thrips,₹800,Beauveria bassiana,Medium,88%,Foliar spray
banana,Fungicide,Propiconazole 25% EC,1 ml/liter,Flowering stage,Sigatoka & Anthracnose,₹900,Bordeaux mixture,Medium,90%,Foliar spray
banana,Nematicide,Carbofuran 3% CG,2 kg/plant,Planting time,Nematodes,₹1500,Neem cake,High,85%,Soil application
grapes,Fungicide,Sulfur 80% WP,2.5 kg/hectare,Pre-flowering,Powdery mildew,₹400,Milk spray (1:10),Low,85%,Foliar spray
grapes,Insecticide,Imidacloprid 17.8% SL,350 ml/hectare,Fruit development,Thrips & Mealybugs,₹750,Predatory mites,Medium,90%,Foliar spray
grapes,Fungicide,Copper oxychloride 50% WP,3 kg/hectare,Post-harvest pruning,Downy mildew,₹600,Potassium bicarbonate,Low,88%,Foliar spray
apple,Fungicide,Captan 50% WP,2 kg/hectare,Pink bud stage,Scab & Fire blight,₹1000,Bacillus subtilis,Medium,92%,Foliar spray
apple,Insecticide,Chlorpyrifos 20% EC,2.5 ml/liter,Petal fall,Codling moth & Aphids,₹800,Pheromone traps,Medium,87%,Foliar spray
apple,Fungicide,Mancozeb 75% WP,2.5 kg/hectare,Fruit development,Bitter rot & Sooty blotch,₹650,Neem oil + Baking soda,Medium,89%,Foliar spray
coconut,Insecticide,Monocrotophos 36% SL,2.5 ml/liter,Throughout season,Rhinoceros beetle & Red palm weevil,₹900,Bacillus thuringiensis,High,85%,Crown injection
coconut,Fungicide,Copper sulfate,50 gm/palm,Monsoon season,Bud rot & Leaf blight,₹300,Bordeaux paste,Low,80%,Paste application
coconut,Miticide,Fenazaquin 10% EC,2 ml/liter,Throughout season,Red spider mite,₹1200,Predatory mites,Medium,88%,Foliar spray
